dataset;fase;n_filas;n_campos;generador;consumidores_detectados;nota
Excel: 8 hojas academicas;F0/datos originales;n/d;15;— (origen, Servicio de Planificacion UJI);NINGUNO (posible huerfano);datos originales
Excel: preinscripcion;F0/datos originales;n/d;24;— (origen, Servicio de Planificacion UJI);NINGUNO (posible huerfano);datos originales
01_interim/expedientes;F1 m02_limpieza;109568;15;f1_m02_limpieza;NINGUNO (posible huerfano);"espina; 9 tablas limpias (1 por hoja)"
01_interim/becas;F1 m02_limpieza;70524;4;f1_m02_limpieza;NINGUNO (posible huerfano);hoja Circunstancias
01_interim/demograficos;F1 m02_limpieza;30873;5;f1_m02_limpieza;NINGUNO (posible huerfano);hoja Nac-Sexo_Nacionalidad
01_interim/domicilios;F1 m02_limpieza;210911;6;f1_m02_limpieza;NINGUNO (posible huerfano);
01_interim/notas;F1 m02_limpieza;107908;5;f1_m02_limpieza;NINGUNO (posible huerfano);
01_interim/recibos;F1 m02_limpieza;114454;5;f1_m02_limpieza;NINGUNO (posible huerfano);
01_interim/titulaciones;F1 m02_limpieza;45;6;f1_m02_limpieza;NINGUNO (posible huerfano);45 titulaciones
01_interim/trabajo;F1 m02_limpieza;195524;4;f1_m02_limpieza;NINGUNO (posible huerfano);
01_interim/preinscripcion;F1 m02_limpieza;210986;24;f1_m02_limpieza;fase1_transformacion/f1_m04c_correccion_notas.ipynb;
02_processed/df_alumno_base;F1 m04a_union_tablas;109568;33;f1_m04a_union_tablas;fase1_transformacion/f1_m04b_union_preinscripcion.ipynb;merge expedientes + 8 tablas
02_processed/df_alumno;F1 m04b/c/d;109568;37;f1_m04b/c/d (+preinscripcion, correcciones);fase1_transformacion/f1_m00_indice.ipynb, fase1_transformacion/f1_m04_dataset_final.ipynb, fase1_transformacion/f1_m04c_correccion_notas.ipynb, fase1_transformacion/f1_m04d_correccion_via_acceso.ipynb, fase1_transformacion/f1_m05_dashboard.ipynb, fase1_transformacion/f1_m05_m06_trazabilidad.ipynb, fase1_transformacion/f1_m06_grafo.ipynb, fase1_transformacion/f1_m06_grafo_pyvis.ipynb, fase2_eda/f2_m00_indice.ipynb, fase2_eda/f2_m01_inspeccion.ipynb, fase2_eda/f2_m02_calidad.ipynb, fase2_eda/f2_m03_nulos.ipynb, fase2_eda/f2_m04_univariante_num.ipynb, fase2_eda/f2_m05_univariante_cat.ipynb, fase2_eda/f2_m06_evolucion.ipynb, fase2_eda/f2_m06b_temporal.ipynb, fase2_eda/f2_m07_conclusiones.ipynb;salida final Fase 1 (37 col)
03_features/df_alumno_limpio;F3 m01_validacion;109568;43;f3_m01_validacion;fase3_features/f3_m02_agregacion.ipynb, fase3_features/f3_m03_features.ipynb, fase6_evaluacion/f6_m00_preparacion.ipynb;validacion + derivadas iniciales
03_features/df_longitudinal_trayectoria;F3 m01_validacion;109568;23;f3_m01_validacion;NINGUNO (posible huerfano);nivel curso-alumno (auxiliar)
03_features/df_expediente_base;F3 m02_agregacion;33621;41;f3_m02_agregacion;fase3_features/f3_m03_features.ipynb, fase3_features/f3_m08_auditoria.ipynb;agrega a nivel expediente (109.568->33.621)
03_features/df_expediente_features;F3 m03_features;33621;51;f3_m03_features;fase3_features/f3_m00_indice.ipynb, fase3_features/f3_m04a_automl_target.ipynb, fase3_features/f3_m04b_eda_target.ipynb, src/index_generator.py;feature engineering
03_features/df_exp_automl_target;F3 m04a_automl_target;33621;49;f3_m04a_automl_target;fase3_features/f3_m04_index.ipynb, fase6_evaluacion/f6_m00_preparacion.ipynb;anade target abandono
03_features/df_exp_target_eda;F3 m04b_eda_target;33621;49;f3_m04b_eda_target;fase3_features/f3_m04_index.ipynb, fase6_evaluacion/f6_m01c_shap_cohortes.ipynb, fase6_evaluacion/f6_m03a_fairness.ipynb, fase6_evaluacion/f6_m03b_errores_fpfn.ipynb;variante para EDA
03_features/df_eda_con_target;F3 m05_target_export;33621;41;f3_m05_target_export;fase3_features/f3_m08_auditoria.ipynb;
automl/df_exp_automl_D;F3 m05_target_export;33621;39;f3_m05_target_export;fase3_features/f3_m06_alerta_temprana.ipynb, fase3_features/f3_m08_auditoria.ipynb;caso D para AutoML
03_features/dataset_final_tfm;F3 m05_target_export;33621;25;f3_m05_target_export;fase3_features/f3_m00_indice.ipynb, fase3_features/f3_m06_alerta_temprana.ipynb, fase3_features/f3_m07_validacion.ipynb, fase3_features/f3_m08_auditoria.ipynb, fase4_eda/f4_m09_conclusiones_eda.ipynb, fase_automl/fautoml_m00_indice.ipynb, fase_automl/fautoml_m01_baselines.ipynb, fase_automl/fautoml_m02_lazypredict.ipynb, fase_automl/fautoml_m03_pycaret.ipynb, fase_automl/fautoml_m04_h2o.ipynb, fase_automl/fautoml_m05_autogluon.ipynb, fase_automl/fautoml_m06_tabpfn.ipynb, scripts/trazabilidad.py;DATASET FINAL (24 feat + target)
04_eda/df_eda_final;F3 m08_auditoria;33621;26;f3_m08_auditoria;fase3_features/f3_m09_perfiles_riesgo.ipynb, fase4_eda/f4_m00_indice.ipynb, fase4_eda/f4_m01_inspeccion.ipynb, fase4_eda/f4_m02_target.ipynb, fase4_eda/f4_m03_distribuciones_num.ipynb, fase4_eda/f4_m04_distribuciones_cat.ipynb, fase4_eda/f4_m05_bivariante.ipynb, fase4_eda/f4_m06_correlaciones.ipynb, fase4_eda/f4_m07_seleccion_features.ipynb, fase4_eda/f4_m08_perfiles_riesgo.ipynb, fase6_evaluacion/f6_m00_preparacion.ipynb;version EDA (con titulacion)
04_eda/df_eda_perfiles;F3 m09_perfiles_riesgo;33621;28;f3_m09_perfiles_riesgo;NINGUNO (posible huerfano);anade score/perfil de riesgo
05_modelado/X_train;F5 m01a_preparacion;26896;28;f5_m01a_preparacion;fase5_modelado/f5_m01b_lineales_basico.ipynb, fase5_modelado/f5_m01c_lineales_ext.ipynb, fase5_modelado/f5_m02_arboles.ipynb, fase5_modelado/f5_m03_boosting.ipynb, fase5_modelado/f5_m04_otros.ipynb, fase5_modelado/f5_m05_mlp_ebm.ipynb, fase5_modelado/f5_m06_ensambles.ipynb, fase5_modelado/f5_wilcoxon_top3.ipynb, fase5_modelado/f5_wilcoxon_xgb_vs_lgb.ipynb;split train (sin preprocesar)
05_modelado/X_test;F5 m01a_preparacion;6725;28;f5_m01a_preparacion;extraer_datos_ilustraciones_v3.ipynb, fase5_modelado/f5_m01b_lineales_basico.ipynb, fase5_modelado/f5_m01c_lineales_ext.ipynb, fase5_modelado/f5_m02_arboles.ipynb, fase5_modelado/f5_m03_boosting.ipynb, fase5_modelado/f5_m04_otros.ipynb, fase5_modelado/f5_m05_mlp_ebm.ipynb, fase5_modelado/f5_m06_ensambles.ipynb, fase6_evaluacion/f6_m00b_preparacion_app.ipynb, fase6_evaluacion/f6_m01c_shap_cohortes.ipynb, fase6_evaluacion/f6_m03a_fairness.ipynb, fase6_evaluacion/f6_m03b_errores_fpfn.ipynb;split test (sin preprocesar)
05_modelado/X_train_prep;F5 m01a_preparacion;26896;28;f5_m01a_preparacion;defensa/sostenibilidad_defensa.ipynb, fase5_modelado/f5_m01b_lineales_basico.ipynb, fase5_modelado/f5_m01c_lineales_ext.ipynb, fase5_modelado/f5_m02_arboles.ipynb, fase5_modelado/f5_m03_boosting.ipynb, fase5_modelado/f5_m04_otros.ipynb, fase5_modelado/f5_m05_mlp_ebm.ipynb, fase5_modelado/f5_m06_ensambles.ipynb, fase6_evaluacion/f6_m02a_lime.ipynb, fase6_evaluacion/f6_m02b_dice.ipynb, fase6_evaluacion/f6_m04b_calibracion.ipynb;train preprocesado (pipeline)
05_modelado/X_test_prep;F5 m01a_preparacion;6725;28;f5_m01a_preparacion;extraer_datos_ilustraciones_v3.ipynb, fase5_modelado/f5_m01b_lineales_basico.ipynb, fase5_modelado/f5_m01c_lineales_ext.ipynb, fase5_modelado/f5_m02_arboles.ipynb, fase5_modelado/f5_m03_boosting.ipynb, fase5_modelado/f5_m04_otros.ipynb, fase5_modelado/f5_m05_mlp_ebm.ipynb, fase5_modelado/f5_m06_ensambles.ipynb, fase6_evaluacion/f6_m00_preparacion.ipynb, fase6_evaluacion/f6_m00b_preparacion_app.ipynb, fase6_evaluacion/f6_m00c_export_probs.ipynb, fase6_evaluacion/f6_m01a_shap_global.ipynb, fase6_evaluacion/f6_m01b_shap_local.ipynb, fase6_evaluacion/f6_m01c_shap_cohortes.ipynb, fase6_evaluacion/f6_m01d_shapash.ipynb, fase6_evaluacion/f6_m02a_lime.ipynb, fase6_evaluacion/f6_m02b_dice.ipynb, fase6_evaluacion/f6_m03a_fairness.ipynb, fase6_evaluacion/f6_m03b_errores_fpfn.ipynb, fase6_evaluacion/f6_m04a_stress.ipynb, fase6_evaluacion/f6_m04b_calibracion.ipynb, fase6_evaluacion/f6_m04c_sostenibilidad.ipynb, fase6_evaluacion/f6_m04d_robustez_temporal.ipynb, fase6_evaluacion/f6_m05_robustez_calibracion.ipynb, fase6_evaluacion/f6_m06_informe_final.ipynb, fase6_evaluacion/utils/verificacion_pre_m01a.ipynb;test preprocesado (pipeline)
06_evaluacion/meta_test;F6 m00_preparacion;6725;15;f6_m00_preparacion;extraer_datos_ilustraciones_v3.ipynb, fase6_evaluacion/f6_m00_preparacion.ipynb, fase6_evaluacion/f6_m00b_preparacion_app.ipynb;metadatos del test
06_evaluacion/meta_test_app;F6 m00b_preparacion_app;6725;37;f6_m00b_preparacion_app;fase6_evaluacion/f6_m00c_export_probs.ipynb, scripts/verificar_coherencia.py, utils/leer_parquet.ipynb;meta + features + prob (app)
